,state
1,Alaska
2,Arizona
10,Hawaii
11,Idaho
13,Indiana
14,Iowa
17,Louisiana
22,Minnesota
25,Montana
35,Oklahoma
36,Oregon
38,Rhode Island
43,Utah
44,Vermont
48,Wisconsin
